Date,S&P 500
2023-08-01 00:00:00-04:00,4576.72998046875
2023-08-02 00:00:00-04:00,4513.39013671875
2023-08-03 00:00:00-04:00,4501.89013671875
2023-08-04 00:00:00-04:00,4478.02978515625
2023-08-07 00:00:00-04:00,4518.43994140625
2023-08-08 00:00:00-04:00,4499.3798828125
2023-08-09 00:00:00-04:00,4467.7099609375
2023-08-10 00:00:00-04:00,4468.830078125
2023-08-11 00:00:00-04:00,4464.0498046875
2023-08-14 00:00:00-04:00,4489.72021484375
2023-08-15 00:00:00-04:00,4437.85986328125
2023-08-16 00:00:00-04:00,4404.330078125
2023-08-17 00:00:00-04:00,4370.35986328125
2023-08-18 00:00:00-04:00,4369.7099609375
2023-08-21 00:00:00-04:00,4399.77001953125
2023-08-22 00:00:00-04:00,4387.5498046875
2023-08-23 00:00:00-04:00,4436.009765625
2023-08-24 00:00:00-04:00,4376.31005859375
2023-08-25 00:00:00-04:00,4405.7099609375
2023-08-28 00:00:00-04:00,4433.31005859375
2023-08-29 00:00:00-04:00,4497.6298828125
2023-08-30 00:00:00-04:00,4514.8701171875
2023-08-31 00:00:00-04:00,4507.66015625
2023-09-01 00:00:00-04:00,4515.77001953125
2023-09-05 00:00:00-04:00,4496.830078125
2023-09-06 00:00:00-04:00,4465.47998046875
2023-09-07 00:00:00-04:00,4451.14013671875
2023-09-08 00:00:00-04:00,4457.490234375
2023-09-11 00:00:00-04:00,4487.4599609375
2023-09-12 00:00:00-04:00,4461.89990234375
2023-09-13 00:00:00-04:00,4467.43994140625
2023-09-14 00:00:00-04:00,4505.10009765625
2023-09-15 00:00:00-04:00,4450.31982421875
2023-09-18 00:00:00-04:00,4453.52978515625
2023-09-19 00:00:00-04:00,4443.9501953125
2023-09-20 00:00:00-04:00,4402.2001953125
2023-09-21 00:00:00-04:00,4330.0
2023-09-22 00:00:00-04:00,4320.06005859375
2023-09-25 00:00:00-04:00,4337.43994140625
2023-09-26 00:00:00-04:00,4273.52978515625
2023-09-27 00:00:00-04:00,4274.509765625
2023-09-28 00:00:00-04:00,4299.7001953125
2023-09-29 00:00:00-04:00,4288.0498046875
2023-10-02 00:00:00-04:00,4288.39013671875
2023-10-03 00:00:00-04:00,4229.4501953125
